"studyName","Topic","Description"
"Abe1981","Sampling strategy","In August 1979, 17 sample trees in a quadrate (15 m times 10 m) of a 53 year-old plantation were cut down (Abe 1980). The stand was facing the north-east with slope of 13 to 20 degree. Five trees were selected to represent each diameter class. These five trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 0-0.3 m, 0.3-1.3 m, and at intervals of 1 m upward to the crown base and in horizontal strata defined by whorl brahces from crown base to the stem apex. For the remaining 12 tress, stems were cut into parts contained in horizontal layer or 0-0.3 m, 0.3-1.3 m, and at intervals of 3.65 m upward to the crown base, and in horizontal strata defined by whorl brahces from crown base to the stem apex."
"Abe1981","Stem cross sectional area","Estimated from stem diameter."
"Abe1981","Height","Metadata not available."
"Abe1981","Biomass","For stem biomass, fresh mass was converted to dry mass from the ratio of dry to fresh mass. The ratio was estimated from subsamples taken from each tree at each layer. For branch and leaf biomass, total fresh mass of branches and leaves were converted to dry mass from the ratio of dry to fresh mass. Then, dry mass of branches and leaves were converted to branch dry mass and leaf dry mass by the ratio of leaf to branch dry mass. Both ratios were estimated from subsamples taken from each tree at each whorl stratum. All samples were oven-dried at 90 degrees C for 96 hours."
"Abe1981","Other variables","M.I. Ishihara,  H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Abe (1980). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Aiba2005","Sampling strategy","Of the approx. 70 species of the genus Shorea that occur in Lambir Hills National Park (Sarawak, Malaysia), 18 species, for which enough saplings of a comparable size could be collected, were analysed - 360 individuals were analysed. In August 2003, approx. 20 sound saplings of various sizes (0.1-1.5m tall) of each species were sampled to determine their allometric relationships. All sampled individuals grew under closed canopies. For S. ochracea, only 18 individuals were sampled because of its rarity. Also sampled were 10-15 saplings of each species excluding S. ochracea, in November 2003."
"Aiba2005","Leaf area","For each sapling, the total leaf area and maximum individual leaf area were measured using the software LIA32 for Windows 95 (K. Yamamoto) after scanning the images."
"Aiba2005","Stem cross sectional area","Stem diameter was measured at ground using calliper at right angles."
"Aiba2005","Height","Height was measured as the vertical distance from the ground to the highest apex."
"Aiba2005","Crown area","Crown width was measured at right angles including the widest width. Projected area was estimated by assuming an ellipse."
"Aiba2005","Biomass","Saplings were divided into root, stem, branches and leaf lamina. Each compartment was dried to constant weight and weighed. Leaf petioles were not included in Total leaf mass. All parts of the saplings were weighed after being oven-dried at 60degC for at least 5 d."
"Aiba2005","Other variables","Saplings grown under closed canopy and canopy openness were measured using hemispherical photographs; Mean annual rainfall provided; Mean annual temperature provided."
"Aiba2005","Year collected","2003"
"Aiba2005","Acknowledgements","Forest Department of Sarawak and Sarawak Forest Research Corporation for their kind permission to conduct research in Lambir Hills National Park. This study was partly supported by a Research Fellowship for Young Scientists (to M. Aiba) and grants from the Ministry of Environment (No. S-9-3 to M. Aiba)"
"Aiba2007","Sampling strategy"," All dipterocarp species for which enough saplings of a comparable size could be collected and which were not focused in Aiba & Nakashizuka 2005, were analysed. In November 2003, 20 - 30 sound saplings of various sizes (0.1 - 1.5m tall) of each species were sampled to determine their allometric relationships. All sampled individuals grew under closed canopies."
"Aiba2007","Leaf area"," For each sapling, the total leaf area and maximum individual leaf area were measured using the software LIA32 for Windows 95 (K. Yamamoto) after scanning the images."
"Aiba2007","Stem cross sectional area"," Stem diameter was measured at ground using calliper at right angles."
"Aiba2007","Height"," Height was measured as the vertical distance from the ground to the highest apex."
"Aiba2007","Crown area"," Crown width was measured at right angles including the widest width. Projected area was estimated by assuming an ellipse."
"Aiba2007","Biomass"," Saplings were divided into root, stem, branches and leaf lamina. Each compartment was dried to constant weight and weighed. Leaf petioles were not included in Total leaf mass. All parts of the saplings were weighed after being oven-dried at 60degC for at least 5 d."
"Aiba2007","Growth environment"," Field, wild."
"Aiba2007","Other variables"," Saplings grown under closed canopy; Mean annual rainfall provided; Mean annual temperature provided."
"Aiba2007","Year collected","2003"
"Aiba2007","Acknowledgements","Forest Department of Sarawak and Sarawak Forest Research Corporation for their kind permission to conduct research in Lambir Hills National Park. This study was partly supported by a Research Fellowship for Young Scientists (to M. Aiba) and grants from the Ministry of Environment (No. S-9-3 to M. Aiba)"
"Albrektson1984","Sampling strategy"," The sample trees were selected as stems of mean basal area, by classes of basal area, to represent the diameter distribution of the stands."
"Albrektson1984","Stem cross sectional area","DBH measured in the field."
"Albrektson1984","Height","No additional information provided."
"Albrektson1984","Crown area","Every 10th branch, from the base to the top of the live crown, was taken systematically for the branch sample. To avoid systematic errors, the first sample branch on every sample tree was randomized. Length of these branches was used to estimate crown width."
"Albrektson1984","Biomass","Fresh weight was determined by section in the field, and converted to dry mass based on a subsample (of foliage and wood)."
"Albrektson1984","Growth environment","Single-species Scots pine stands, no other information provided."
"Albrektson1984","Other variables","The basal area of sapwood was measured on discs from breast height. Sapwood was visually separated from heartwood after they had been treated with sulphanilic acid and sodium nitrite (Anon 1962). The width of the sapwood was calculated from the average of four measurements at right angles. The mean annual ring width in the sapwood was calculated as the width of sapwood, divided by the number of annual rings in the sapwood."
"Ando1962","Sampling strategy","Study was conducted in a naturally regenerated secondary Pine forest (Block I in the Takadateyama National Forest, compartment 91-Ne, Na, and Tsu, 200 m a.s.l.). For Block III see Tadaki 1979. Three plots with size of 0.01 ha (10 m times 10 m) were set in the stand in 1951 (Ando et al. 1962). These plots were facing the south. The stand was treated to regenerate naturally during 1942 to 1947 and was estimated to be 8 years old in 1951. Plots were treated with different treatments in 1951-1952. Plot A  (sparse) was thinned to avoid strong competition. Plot B  (1000 trees/ha) was thinned to a density of 10,000 trees/ha in 1952. Plot C (control) was untreated. A total of 70 trees were cut down (20 from plot A, 20 from plot B, and 30 from plot C). Trees were selected randomly. Stems of sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 0.0-0.2 m, 0.2-0.7m, and at interval of 0.5 m upward. Leaves and branches were separated."
"Ando1962","Height","Metadata not available."
"Ando1962","Biomass","Measured fresh mass of stem, branch, and leaves was converted to dry mass from the ratio of dry to fresh weights (Ando et al. 1962). The ratio was estimated from subsamples dried at 80 degrees C."
"Ando1962","Other variables","M.I. Ishihara,  H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Ando et al. (1962). Based on this reference, meta data was also created by M. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Ando1973","Sampling strategy","Plots 1-A and 1-B in Maruyama experimental stand were facing the south-east at 180 a.s.l. and planted with Acacia mollissima in 1963 at the density of 2000 trees / ha and 4000 trees / ha, respectively (Ando and Takeuchi 1973).  Plots 1-A and 1-B in Haseyama experimental stand were facing the north at 200 a.s.l. and planted with Acacia dealbata in 1963 at the density of 2000 trees/ha and 4000 trees/ha, respectively. Details of the plots are listed in Table 1 of Ando and Takeuchi (1973). Eight sample trees covering whole range of diameter distribution were harvested from each plot in late November to early December 1967. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 1 m thickness. Fresh weight of stem, branches, leaves, and flowering buds were measured in the field. For three sample trees (large-, middle, small-sized trees) per plot, roots were excavated  in quadrate plots centred on the stump of sampled tress. The area of quadrate plot was 5 square meters for a tree in density of 2000 trees/ha (plots 1-A) and 2.5 square meters for a tree in density of 4000 trees/ha (plots 1-B). All roots within this quadrate plot was assumed to be of the sample tree."
"Ando1973","Height","Metadata not available."
"Ando1973","Biomass","Measured fresh weight was converted to dry weight from the ratio of dry to fresh weights (Ando and Takeuchi 1973). The ratio was estimated from subsamples."
"Ando1973","Other variables","M.I. Ishihara,  H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Ando and Takeuchi (1973). Based on this reference, meta data was also created by M.I. Ishihara. Species names follow Ando and Takeuchi (1973)."
"Ando1988","Sampling strategy"," Sixteen Cryptomeria japonica trees with stem diameter ranging from 6 to 52 cm were cut at ground level (Kawanabe and Ando 1988). Additionally, 37 broadleaved trees were cut. Stem diameter and tree height were measured. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 1 m thickness for Cryptomeria japonica, 2 m thickness for Castanea crenata, and 0.5 m thickness for other broadleaved tree species."
"Ando1988","Stem cross sectional area"," Estimated from stem diameter."
"Ando1988","Height"," Measured by measuring tape after trees were felled."
"Ando1988","Biomass"," Fresh weights of leaves, branches and stem were measured separately for each layer and tree (Kawanabe and Ando 1988). In Cryptomeria japonica, leaves and green braches were difficult to seperate. Green parts of the main axis of the stem or large branches were treated as branch and those of lateral axes as leaves. Subsamples of each organ from each layer and each tree were taken and oven-dried at 80 degrees C for 48 hours or more. The dry-to-fresh weight ratios of these subsamples were used to calculate total dry weight of each tree component."
"Ando1988","Growth environment"," Natural forest dominated by Cryptomeria japonica."
"Ando1988","Other variables","Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Aspinwall2013","Sampling strategy","Completed above and belowround harvests were conducted during the winter of 2008 and the winter of 2009.  We harvested 9 Pinus taeda genotypes in total; 3 clones, 3 full-sib families, and 3 half-sib families. 2 clones were planted as containerized and bare-root seedlings, such that there were actually 11 'individuals'.  In winter 2008 (age 2), we harvested four trees of each genotype and the study location (Onslow County, NC, USA, managed pine plantation).  We conducted the same harvesting protocol on 2 trees per genotype in winter 2009 (age 3).  With one missing tree, we have data on 65 trees.  "
"Aspinwall2013","Leaf area","For each tree, a randomly sampled subset of needles was collected from throught the canopy.  These needles were scanned (Epson scanner) and the images were analyzed using ImageJ software to estimate total fresh area of the subsample.  The needles were then oven dried (70 C), and one-side SLA (cm2 g-1) for each tree was determined.  This SLA values was then multiplied by total needle dry mass to estimate total canopy one-sided leaf area (m2)"
"Aspinwall2013","Stem cross sectional area","Stem diameter was measured at the groundline using digital calipers.  Measures were taken in two directions.  Diameter at breast-height was also measured on age 3 trees."
"Aspinwall2013","Height","Height was measured as the vertical distance from the ground to the highest apex."
"Aspinwall2013","Crown area","Not measured."
"Aspinwall2013","Biomass","The general harvest protoco was as follows: Ground-line diameter and height were measured and each tree was felled onto a tarp. The aboveground portion was then separated into foliage, branches, and stem. Briefly, total fresh mass of each component was measured in the field and a subsample representing *25 % of the component fresh mass was weighed and dried to a constant mass at 70  C. Total dry mass (kg) of each component was calculated as the product of total fresh weight and subsample moisture content (%). Following the aboveground harvest, a 0.5 m3 volume of soil, centered on the cut stem, was carefully excavated so that taproot, coarse root, and fine root biomass could be estimated.  Samples were sieved, washed and dried at 70 C to estimate dry mass. "
"Aspinwall2013","traits","SLA was determined as described above for 'Leaf area'"
"Aspinwall2013","Growth environment","Young, managed pine plantation.  Tree were planted in rows in single-tree plot design.  Some competing woody and herbaceous vegetation but trees were dominant in the canopy."
"Aspinwall2013","Other variables","latitude, longitude, mean annual precipitation, and mean annual temperature are provided.  We also measured tap root dry mass separately, but this data can be added to get total coarse root dry mass if necessary."
"Baltzer2007","Sampling strategy","Seeds were of local provenance obtained from the National Tree Seed Centre (Canadian Forest Service Atlantic Forestry Centre, Fredericton, NB) and grown in glasshouse at the Faculty of Forestry, University of Toronto (CA), under high and low nutrient and light treatments. Individuals sampled from 1 to 5 months of age. Biomass harvests were conducted on 5-6 June, 21-23 July and 3-5 September 2003. Betula papyrifera and Populus grandidentata showed low germination rates and therefore seedlings were not available for the first harvest. Additionally, both species had 100% mortality in low light and thus data are missing for low-light measurements. For the first two harvests, five seedlings per species and treatment were selected at random. The final harvest included all surviving seedlings."
"Baltzer2007","Leaf area","Fresh leaves from each harvest were measured for individual area and total area."
"Baltzer2007","Stem cross sectional area","Stem diameter measured at base."
"Baltzer2007","Height","Total height measured along the stem, from base to apical bud."
"Baltzer2007","Biomass","Seedlings were divided into roots, stems and leaves which were then oven dried for 5 days at 60 degC to constant weight and weighted."
"Baltzer2007","Traits","age (months), total height (cm), stem diameter at base (mm), leaf area (cm^2), total leaf mass (g), total root mass (g), stem mass (g), Single leaf area (cm^2), leaf mass per area (g/cm^2)."
"Baltzer2007","Growth environment","GH"
"Baltzer2007","Other variables","In the final harvest fresh leaf area of leaves measured for gas-exchange was determined for calculation of leaf mass per area; Photon flux density (PFD) was measured using Hobo Weather Stations (Onset Computer, Bourne, Mass.)."
"Baltzer2007","Year collected","2003"
"Baraloto2006","Sampling strategy","The experiment was conducted in a shadehouse at the INRA research facilities in Kourou, French Guiana, approximately 60km from permanent plots at Paracou, French Guiana (5.3N,52.92W). The nine focal species were chosen to test for differences among species not exhibiting any strong edaphic preferences at the seedling stage at Paracou (Baraloto & Goldberg 2004) but representing the broad range of seed size and specific leaf area found among the tree species occurring in lowland tropical forest in French Guiana (reported in Baraloto 2001; see Table 1). Seeds were collected from within a 10-m radius of each of a minimum of five adult trees per species at Paracou and mixed with respect to maternal source. 867 individuals were sampled and varied from 1.09 to 9.93 mm basal stem diameter. The experiment consisted of a factorial design of two soil types (Brown clay or White sand), two water treatments (drought, no drought) and two fertilization treatments (phosphate addition, no phosphate addition)."
"Baraloto2006","Leaf area","Leaf surface area was measured immediately after harvest with a LICOR3000 leaf area meter (LI-COR Inc, Lincoln, Nebraska, USA). Mass-specific leaf area (SLA) was calculated as the ratio of leaf area to leaf dry biomass."
"Baraloto2006","Stem cross sectional area","Stem diameter was measured at soil surface."
"Baraloto2006","Height","Height was measured on each individual."
"Baraloto2006","Biomass","Seedlings were partitioned into leaf, stem and petiole, root and remaining cotyledons, which were then dried at 50degC, to constant weight and weighed."
"Baraloto2006","Traits","Basal diameter (mm), Height at one year harvest age (cm), Leaf surface area (cm^2), Mass-specific leaf area (m2/kg), Leaf biomass at harvest (g), Stem biomass at harvest (g), Root biomass at harvest (g), Shoot (=leaf + stem) biomass at harvest (g), Total biomass at harvest (g)."
"Baraloto2006","Growth environment","GH"
"Baraloto2006","Other variables","Light environment was measured by quantum sensors. 6.0%-1.2% of energy transmitted to sensors placed in adjacent sites open to full sun; Vegetation type - Tropical Rainforest."
"Baraloto2006","Year collected","1998"
"Baraloto2006","Acknowledgements","This work has benefited from an Investissements d'Avenir grant managed by Agence Nationale de la Recherche (CEBA, ref. ANR-10-LABX-25-01)"
"Battaglia1998","Sampling strategy","Whole hectare of trees measured to develop frequency of diameters, then divided into six classes and random tree from each class selected and felled.  All branches measured along stem and diameter taken.  Crown divided into thirds and 5 branches in each crown zone sampled.  "
"Battaglia1998","Leaf area","For each branch in each crown zone a sub-sample of 10 leaves taken and leaf area measured.  Leaves dried at 70C to constant weitght"
"Battaglia1998","Stem cross sectional area","Stem diameter measure with diameter tape at 1.3m"
"Battaglia1998","Height","Height was measured on felled trees from ground to vertex with a tape"
"Battaglia1998","Crown area","Not measured, although branch lengths and position on crown were but not branch angle"
"Battaglia1998","Biomass","The general harvest protoco was as follows: see references in appended.  Essentially trees felled and stratified random selection of branches collected and mass of leaves in each sampled class assessed"
"Battaglia1998","traits","SLA was determined as described above for 'Leaf area'"
"Battaglia1998","Growth environment","Young, managed eucalyptus nitens plantations well managed and planted at 1430 stems per hectare.  Fertiliser history given in papers.  "
"Battaglia1998","Other variables",""
"BondLamberty2002","Sampling strategy","Aboveground biomass relations were based on 326 trees harvested during three field seasons, 1994, 1999, and 2000. Allometric coefficients for trees harvested in 1994 were previously published (Gower et al. 1997), although with different coefficients, as this study denominates tree mass in grams and not kilograms. In addition, Gower et al. (1997) did not measure D0 and only reported equations for mature trees based on DBH. Trees were destructively sampled between mid-July and early August in each year. Stems were cut at the soil surface."
"BondLamberty2002","Leaf area","Given in Bond-Lamberty et al. (2002), doi: 10.1093/treephys/22.14.993"
"BondLamberty2002","Stem cross sectional area","diameter at soil surface (D0), measured immediately above any root collar swelling; DBH was also recorded."
"BondLamberty2002","Height","Tree height was measured from ground to base of the terminal bud."
