"studyName","lai","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc"
"Abe1981","","","","","","","","","","","","","","","","?","","","?","?","?","d3","","","m4,x1","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"Aiba2005","","","","a1","","","","","","","","","","","","","f","","?","","d1,f","","","?","m3,x6","","","","m3","","m3","","","m3","","a1","","","","","","","","","","",""
"Aiba2007","","","","a1","","","","","","","","","","","","","?","","?","?","?","","","","m3,x6","","","","mx","","m3","","","m3","","a1","","","","","","","","","","",""
"Albrektson1984","","","?","","","?","","","?","","","","","","?","","?","","?","?","","","","","m4,x1","","","","m4","","m4","","","m4","","","","","","","","","","","","",""
"Ando1962","","","?","","","","","","","","","","","","","","","","?","?","","d3","","","m4","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"Ando1973","","","?","","","","","","","","","","","","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"Ando1988","","","","","","","","","","","","","","","","?","","","?","?","?","d3","","","m4,x1","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"Aspinwall2013","","",NA,"a4","","","","","","","","","","","","","","","c, p3","","p2, d1, f","p2, d3, f","","","e2, m3","","","","m3","m3","e2, m3","m3",NA,"m3","x7, m3","","a1, a4","","","","","","","","","",""
"Baltzer2007","","","k3","a1,x6","","","","","","","","","","","","","","","d7,p3","","d1,f","","","","m3,x6","","","","m3","","","","","m3","","a1","m3,x1","","","","","","","","","",""
"Baraloto2006","","","","a1","","","","","","","","","","","","","","","?","","?","","","","m2,x6","","","","m2","","","","","m2","","","m2,a1,x6","","","","","","","","","",""
"Battaglia1998","","","","k3","","p1","p1","","p1","p1","","","","","","p1","","","p3","p3","p1","p1","","","","","","","","","","","","","","","k3","","","","","","","","","",""
"BondLamberty2002","","",NA,"","","v4","","","","","","","","","","","","","?","","p1,p3","p1,p3","","","m3","","","","","","","","r1","","","","","","","","","","","","","",""
"Brown1978","","","?","?","","","","","","","","","","","?","","?","","?","?","","?","?","","?","","","","?","","?","","","","","","","","","","","","","","","",""
"Burger1953","","","?","a5","","","","","","","","","","","","","","","?","?","","?","?","","?","","","","","","?","","","","","","","","","","","","","","","",""
"Camac0000","","","","","","","","","","","","","","","","","","","d7,p2","","d1,p2","","","","m3","","","","m3","m3","","","","","","","","","","","","","","","","",""
"Claveau2002","","?","?","","","","","","","","","","","","","","","","?",NA,"d4","","f,f","?","","","","","","","","","","","","","","","","","","","","","","",""
"Claveau2005","","?","?","e1,a7","","","","","","","","","","","","","","","?","","d4","","","","m3,x6","","","","m3","m3","m3","","","","","","m3,x1","","","","","","","","","",""
"Coll2008","","","","","","","","","","","","","","","","","","","?","","v3","","","","mx","","","","mx","mx","mx","","","mx","mx","?","?","","","","","","","","","",""
"Dannoura2006","","","?","","","","","","","","","","","","","","","","?","","?","d3","","","","","","","","m4","","","","m4","m4","","","","","","","","","","","",""
"Delagrange0000a","","?","","?","","","","","","","","","","","","","","","?","?","?","","?","","?","","","","?","","","","","?","","","?","","","","","","","","","",""
"Delagrange0000b","","?","?","?","","","","","","","","","","","","","","","?","?","?","","?","","?","","","","?","","?","?","?","?","","","?","","","","","","","","","",""
"Delagrange2004","","l4","?","e1","","","","","","","","","","","","","","","?","?","?","","?","","m3,x6","","","","m3","","m3","m3","m3","m3","","","m3,x1","?","","","","?","","","","",""
"Domec2012","?","?","?","a4,a7,e1,k4","","j","","","?","","","","","","?","","?","?","?","?","","","","","m3,x1","?","?","?","?","","?","?","?","?","","a1,x1","m3,a4,a7,x1","?","?","?","?","?","?","?","?","?","?"
"Epron2011","?","?","?","e1",NA,"?",NA,NA,"?",NA,NA,"?",NA,NA,"?",NA,NA,NA,"?","?",NA,"?","?",NA,"m3,x1",NA,NA,"mx","mx",NA,"mx","","mx",NA,NA,NA,NA,NA,NA,NA,NA,"x1","?","?",NA,"x4",NA
"Fatemi2011","","","?","x1,k3","","","","","","","","","","","","","","","?","","d4","d3","","","m3","","","m3,j","","m3,j","m3,j","","","","","","","","","","","","","","","",""
"FLFU1963","","","?","e1","","","","","","","","","","","","?","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"FLFU1965","","","?","e1","","","","","","","","","","","","?","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Furuno1967","","","","","","","","","","","","","","","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Garber2005","","","?","a4,a5,e1","","?","?","","","","","","","","?","","?","?","?","?","","?","?","","m3,x1","","","","","","?","","","","","","","","","","","","","","","",""
