Ring,Tree,CO2-trt,Classif,Coord1-N,Coord2-E,Height,Height (ML),Height (CC),Diameter,Dia (ML),Dia (CC),Scalar field (CC)
1,101,elevated,Suppressed,-8.1,2,10.5,10.55,10.69,16.22,15.98,16.12,"SF=32, x=-9.0, y=-9.04, z=1.57"
1,102,elevated,Codominant,-6.6,2.85,18.4,,,19.5,,,
1,103,elevated,Dominant,-8.2,9.5,19.1,,,27.74,,,
1,104,elevated,Suppressed,-6,9.2,14.5,,,18.99,,,
1,105,elevated,Dominant,-3.7,5.25,18.8,,,24.95,,,
1,106,elevated,Codominant,0.25,5.3,13.2,,,17.64,,,
1,107,elevated,Codominant,1.9,3.75,17.1,,,16.88,,,
1,108,elevated,Codominant,5.05,6.8,12,,,18.5,,,
1,109,elevated,Codominant,8.9,6.8,19.2,,,42.2,,,
1,110,elevated,Codominant,6.2,4.35,18.7,,,18.44,,,
1,111,elevated,Dominant,8.75,4.4,24.5,,,35.72,,,
1,112,elevated,Codominant,11.8,-1.05,18.2,,,23.81,,,
1,113,elevated,Codominant,5.9,-4,19.2,,,21.13,,,
1,114,elevated,Codominant,8.85,-7.2,18,,,19.07,,,
1,115,elevated,Suppressed,7.25,-7.1,16.6,,,18.7,,,
1,116,elevated,Dominant,5.75,-7.5,24.2,,,34.83,,,
1,117,elevated,Dominant,1.5,-1.55,21.5,,19.1,32.37,,32.2,"SF=32, x=-8.33, y=5.53, z=-1.59"
1,118,elevated,Codominant,4.15,-10.25,22.6,,,23.73,,,
1,119,elevated,Codominant,1.05,-11.3,22.2,,,28.53,,,
1,120,elevated,Codominant,0.9,-8.45,19,,,20.68,,,
1,121,elevated,Codominant,-0.9,-1.15,13,,,17.65,,,
1,122,elevated,Dominant,-3.2,-3.65,23,,,33.84,,,
1,123,elevated,Codominant,-8.25,-7.85,17.3,,,21.17,,,
1,124,elevated,Suppressed,-9.7,-7.15,17.2,,,20.04,,,
1,125,elevated,Suppressed,-4.65,-2.25,11,,,15.2,,,
2,201,ambient,Codominant,-9.3,3.7,19.4,,,21.4,,,
2,202,ambient,Codominant,-9.5,5.7,20.1,,,26.56,,,
2,203,ambient,Codominant,-7.4,7.4,18.4,,,28.44,,,
2,204,ambient,Suppressed,-7.4,7.4,10,,,14.7,,,
2,205,ambient,Codominant,-5.55,4.15,17.8,,,23.94,,,
2,206,ambient,Suppressed,-3.95,2.55,11.4,,,12.66,,,
2,207,ambient,Dominant,-0.9,6.6,19.4,,,30.28,,,
2,208,ambient,Codominant,2.05,1.4,19.8,,,26.56,,,
2,209,ambient,Dominant,5.8,4.6,23.3,,,58.05,,,
2,210,ambient,Suppressed,7.2,8.35,4.6,,,14.74,,,
2,211,ambient,Suppressed,8.45,6.6,11.4,,,13.66,,,
2,212,ambient,Suppressed,8.1,3.3,10.4,,,14.56,,,
2,213,ambient,Suppressed,12,3.4,15.9,,,20.09,,,
2,214,ambient,Codominant,10.25,-2.4,19.9,,,23.99,,,
2,215,ambient,Suppressed,11.6,-4.13,13,,,14.49,,,
2,216,ambient,Codominant,9.7,-4.3,18.1,,,22.46,,,
2,217,ambient,Codominant,3.7,-1.9,17.8,,,22.32,,,
2,218,ambient,Suppressed,6.1,-10.8,9.1,,,15.71,,,
2,219,ambient,Suppressed,4,-11.8,12.6,,,17.8,,,
2,220,ambient,Suppressed,4,-12.1,12.8,,,15.46,,,
2,221,ambient,Suppressed,3.45,-9.4,12.8,,,21.36,,,
2,222,ambient,Codominant,-0.35,-5.05,17.5,,,16.63,,,
2,223,ambient,Codominant,-1.35,-4.4,18.3,,,24.45,,,
2,224,ambient,Suppressed,-3.25,-2.3,13.5,,,13.46,,,
2,225,ambient,Codominant,-4.1,-4.25,18.7,,,25.13,,,
2,226,ambient,Suppressed,-5.7,-6.2,9.2,,,12.42,,,
2,227,ambient,Suppressed,-5.35,-7.1,11.1,,,12.66,,,
2,228,ambient,Suppressed,-5.15,-3.6,10.9,,,16.18,,,
3,301,ambient,Dominant,-10,3,19.8,,,29.18,,,
3,302,ambient,Dominant,-5.7,0.2,18.8,,,30.2,,,
3,303,ambient,Suppressed,-6.15,3.15,14.5,,,19.7,,,
3,304,ambient,Codominant,-2.75,9.05,15.7,,,17.62,,,
3,305,ambient,Codominant,-3.7,11.3,16.9,,,27.78,,,
3,306,ambient,Codominant,2.35,5.15,17.6,,,20.12,,,
3,307,ambient,Codominant,4.6,8.65,18.1,,,22.89,,,
3,308,ambient,Suppressed,5,9.25,7,,,17.37,,,
3,309,ambient,Codominant,5.4,9.25,18.9,,,24.36,,,
3,310,ambient,Suppressed,4.15,6.1,11,,,15.22,,,
3,311,ambient,Dominant,2.9,3.75,19.1,,,28.92,,,
3,312,ambient,Codominant,9.5,6.85,15.7,,,20.35,,,
3,313,ambient,Codominant,3.4,0.95,19.5,,,19.37,,,
3,314,ambient,Suppressed,9.2,1.35,16.6,,,20.05,,,
3,315,ambient,Dominant,7.65,-1.85,18.8,,,25.58,,,
3,316,ambient,Codominant,11.45,-4.75,17.3,,,24.51,,,
3,317,ambient,Codominant,5.4,-8.15,18.1,,,24.51,,,
3,318,ambient,Suppressed,0.15,-3.1,11.4,,,15.51,,,
3,319,ambient,Codominant,1.1,-7.1,19.5,,,24.13,,,
3,320,ambient,Dominant,0.4,-6.3,20.8,,,29.33,,,
3,321,ambient,Dominant,-4.9,-5.1,20.2,,,28.64,,,
3,322,ambient,Suppressed,-5.9,-5.55,12.7,,,17.56,,,
3,323,ambient,Suppressed,-6.35,-7.7,14.2,,,16.08,,,
3,324,ambient,Dominant,-8.7,-8.6,20.8,,,36.43,,,
3,325,ambient,Suppressed,-7.94,-3.55,16.7,,,20.55,,,
3,326,ambient,Suppressed,-10.5,-3.5,12.3,,,16.52,,,
4,401,elevated,Codominant,-10.3,3.9,13.7,,,16.39,,,
4,402,elevated,Codominant,-10.9,5.3,15.3,,,19.74,,,
4,403,elevated,Dominant,-7.9,3.95,16.3,,,21.98,,,
4,404,elevated,Suppressed,-7.2,3.65,11.7,,,15.4,,,
4,405,elevated,Codominant,-6.8,9.15,13.6,,,16.49,,,
4,406,elevated,Codominant,-4.4,8.85,13.7,,,18.59,,,
4,407,elevated,Codominant,-0.75,0.8,15.2,,,17.68,,,
4,408,elevated,Dominant,-0.3,3.1,18,,,29.38,,,
4,409,elevated,Codominant,-1.4,10.55,13.4,,,16.71,,,
4,410,elevated,Suppressed,-0.3,11.4,14.7,,,16.62,,,
4,411,elevated,Codominant,1.55,4.85,16.3,,,20.13,,,
4,412,elevated,Suppressed,2.9,7.45,12.7,,,16.79,,,
4,413,elevated,Dominant,8.3,2.9,17.9,,,23.29,,,
4,414,elevated,Codominant,6.5,1.3,16.1,,,22.52,,,
4,415,elevated,Codominant,10.9,-2.8,16.2,,,16.24,,,
4,416,elevated,Codominant,5.3,-1.75,17.2,,,15.65,,,
4,417,elevated,Dominant,9.3,-4.75,18.6,,,26.14,,,
4,418,elevated,Suppressed,7.55,-5.55,13.3,,,17,,,
4,419,elevated,Suppressed,7.65,-8.6,14.2,,,16.6,,,
4,420,elevated,Codominant,2.5,-10.35,18.2,,,22.87,,,
4,421,elevated,Suppressed,-0.45,-4.1,12.7,,,15.77,,,
4,422,elevated,Codominant,-0.15,-7.05,18.6,,,21.92,,,
