"Dbh.QSM","Stem.mass","Branch.mass","Total.mass","Total.height","plot","tree","CO2"
15.1,59.204,6.888,66.092,9.37,"plot 1",1,"ele"
42.9,644.52,267.32,912.66,18.8,"plot 1",2,"ele"
18.3,136.94,13.284,150.06,18.5,"plot 1",3,"ele"
17.5,145.14,38.294,182.86,18.2,"plot 1",4,"ele"
14.2,67.732,48.462,116.44,10.7,"plot 1",6,"ele"
19.5,108.24,17.138,125.46,16.5,"plot 1",7,"ele"
22.8,141.04,46.166,186.96,16.3,"plot 1",8,"ele"
13.9,75.604,20.992,96.76,9.48,"plot 1",9,"ele"
15.6,65.518,4.8298,70.356,14.7,"plot 1",10,"ele"
35,502.66,104.96,607.62,23.1,"plot 1",11,"ele"
23.6,221.4,22.714,243.54,17.7,"plot 1",12,"ele"
20.6,199.26,100.04,299.3,21.8,"plot 1",13,"ele"
18.1,116.44,19.516,135.3,11.5,"plot 1",14,"ele"
21,153.34,123,276.34,17.6,"plot 1",18,"ele"
24.7,197.62,30.75,227.96,19.4,"plot 1",19,"ele"
28.4,323.9,62.074,385.4,24,"plot 1",20,"ele"
16.5,123,27.962,150.88,15.1,"plot 1",21,"ele"
17.1,168.92,16.974,186.14,16,"plot 1",22,"ele"
19.9,239.44,46.166,286.18,21.4,"plot 1",23,"ele"
23.9,353.42,154.16,507.58,20.7,"plot 1",24,"ele"
16.5,221.4,86.92,308.32,24.2,"plot 1",25,"ele"
24.5,191.88,36.326,227.96,12.1,"plot 1",26,"ele"
34.8,551.04,51.004,601.88,18.2,"plot 1",28,"ele"
23.5,263.22,64.124,327.18,18.7,"plot 1",29,"ele"
26.6,355.06,135.3,490.36,14.6,"plot 1",30,"ele"
6.86,15.416,17.056,32.472,5.47,"plot 2",1,"amb"
12,64.288,20.992,85.28,8.72,"plot 2",2,"amb"
15.7,136.94,20.008,156.62,10.2,"plot 2",3,"amb"
16.8,123,36.49,159.9,10.5,"plot 2",4,"amb"
18.3,118.08,35.588,153.34,10.4,"plot 2",5,"amb"
7.72,21.894,12.71,34.604,8.11,"plot 2",6,"amb"
13.8,106.6,45.1,151.7,14.5,"plot 2",7,"amb"
25.9,379.66,151.7,531.36,18.8,"plot 2",8,"amb"
16.9,114.8,1.1644,116.44,11.1,"plot 2",9,"amb"
37,245.18,201.72,446.9,16.4,"plot 2",10,"amb"
14.2,115.62,174.66,290.28,10.2,"plot 2",11,"amb"
12.1,89.38,38.622,127.92,3.1,"plot 2",12,"amb"
11.7,70.766,140.22,210.74,9.93,"plot 2",13,"amb"
31.5,255.84,321.44,577.28,10.9,"plot 2",14,"amb"
19,136.12,148.42,285.36,16.8,"plot 2",15,"amb"
24.6,359.98,535.46,895.44,18.6,"plot 2",16,"amb"
