"Tree","Ring","CO2.trt","Classif","Height","Diameter","time","diam","Date","biom"
101,1,"elevated","Suppressed",10.5,16.22,45,16.4,2015-12-14,81.0963799699099
102,1,"elevated","Codominant",18.4,19.5,45,19.6,2015-12-14,123.068262978784
103,1,"elevated","Dominant",19.1,27.74,45,27.98,2015-12-14,283.067823521275
104,1,"elevated","Suppressed",14.5,18.99,45,19.11,2015-12-14,115.989018011512
105,1,"elevated","Dominant",18.8,24.95,45,25.25,2015-12-14,222.617088666566
106,1,"elevated","Codominant",13.2,17.64,45,17.48,2015-12-14,94.1485869348079
107,1,"elevated","Codominant",17.1,16.88,45,17.07,2015-12-14,89.0621763175281
108,1,"elevated","Codominant",12,18.5,45,18.59,2015-12-14,108.737823518725
109,1,"elevated","Codominant",19.2,42.2,45,42.36,2015-12-14,747.039885921826
110,1,"elevated","Codominant",18.7,18.44,45,18.27,2015-12-14,104.408309658631
111,1,"elevated","Dominant",24.5,35.72,45,36.78,2015-12-14,536.782440064111
112,1,"elevated","Codominant",18.2,23.81,45,23.73,2015-12-14,192.514555690824
113,1,"elevated","Codominant",19.2,21.13,45,21.27,2015-12-14,149.019393077176
114,1,"elevated","Codominant",18,19.07,45,18.96,2015-12-14,113.869801382696
115,1,"elevated","Suppressed",16.6,18.7,45,18.24,2015-12-14,104.007576148732
116,1,"elevated","Dominant",24.2,34.83,45,36.19,2015-12-14,516.849557014531
117,1,"elevated","Dominant",21.5,32.37,45,32.24,2015-12-14,394.376693441384
118,1,"elevated","Codominant",22.6,23.73,45,24.38,2015-12-14,205.08114093885
119,1,"elevated","Codominant",22.2,28.53,45,29.46,2015-12-14,319.353353771622
120,1,"elevated","Codominant",19,20.68,45,20.7,2015-12-14,139.841950323998
121,1,"elevated","Codominant",13,17.65,45,17.4,2015-12-14,93.1434038636549
122,1,"elevated","Dominant",23,33.84,45,34.74,2015-12-14,469.687096235676
123,1,"elevated","Codominant",17.3,21.17,45,20.19,2015-12-14,131.912469349171
124,1,"elevated","Suppressed",17.2,20.04,45,19.98,2015-12-14,128.724228090436
201,2,"ambient","Codominant",19.4,21.4,45,21.75,2015-12-14,157.007911002716
202,2,"ambient","Codominant",20.1,26.56,45,26.85,2015-12-14,257.037508324614
203,2,"ambient","Codominant",18.4,28.44,45,28.49,2015-12-14,295.288949715501
204,2,"ambient","Suppressed",10,14.7,45,14.69,2015-12-14,62.6755084837348
205,2,"ambient","Codominant",17.8,23.94,45,23.9,2015-12-14,195.757293593495
207,2,"ambient","Dominant",19.4,30.28,45,30.49,2015-12-14,346.094929706433
208,2,"ambient","Codominant",19.8,26.56,45,26.54,2015-12-14,250.146835547793
209,2,"ambient","Dominant",23.3,58.05,45,59.63,2015-12-14,1662.85552507389
211,2,"ambient","Suppressed",11.4,13.66,45,13.47,2015-12-14,51.1666563938836
212,2,"ambient","Suppressed",10.4,14.56,45,14.48,2015-12-14,60.5989778323908
213,2,"ambient","Suppressed",15.9,20.09,45,20.24,2015-12-14,132.678163968584
214,2,"ambient","Codominant",19.9,23.99,45,24.25,2015-12-14,202.531389554081
215,2,"ambient","Suppressed",13,14.49,45,14.44,2015-12-14,60.2079854571368
216,2,"ambient","Codominant",18.1,22.46,45,22.49,2015-12-14,169.793941388613
217,2,"ambient","Codominant",17.8,22.32,45,22.05,2015-12-14,162.122381020291
218,2,"ambient","Suppressed",9.1,15.71,45,15.66,2015-12-14,72.7913169858397
219,2,"ambient","Suppressed",12.6,17.8,45,17.68,2015-12-14,96.6886182493194
221,2,"ambient","Suppressed",12.8,21.36,45,21.35,2015-12-14,150.334238343337
222,2,"ambient","Codominant",17.5,16.63,45,16.79,2015-12-14,85.6811906355299
223,2,"ambient","Codominant",18.3,24.45,45,24.6,2015-12-14,209.437774568163
224,2,"ambient","Suppressed",13.5,13.46,45,13.53,2015-12-14,51.7015672158382
225,2,"ambient","Codominant",18.7,25.13,45,25.24,2015-12-14,222.410836877136
226,2,"ambient","Suppressed",9.2,12.42,45,12.15,2015-12-14,40.1953073932667
227,2,"ambient","Suppressed",11.1,12.66,45,12.68,2015-12-14,44.4187074951934
228,2,"ambient","Suppressed",10.9,16.18,45,16.33,2015-12-14,80.2887203595915
301,3,"ambient","Dominant",19.8,29.18,45,30.44,2015-12-14,344.768310341912
302,3,"ambient","Dominant",18.8,30.2,45,31.27,2015-12-14,367.16908397693
304,3,"ambient","Codominant",15.7,17.62,45,17.74,2015-12-14,97.4581861388414
305,3,"ambient","Codominant",16.9,27.78,45,28.17,2015-12-14,287.586228825651
306,3,"ambient","Codominant",17.6,20.12,45,20.45,2015-12-14,135.921830536693
307,3,"ambient","Codominant",18.1,22.89,45,23.38,2015-12-14,185.935797081137
308,3,"ambient","Suppressed",7,17.37,45,17.48,2015-12-14,94.1485869348079
309,3,"ambient","Codominant",18.9,24.36,45,25.03,2015-12-14,218.104814290165
310,3,"ambient","Suppressed",11,15.22,45,15.27,2015-12-14,68.619920508522
311,3,"ambient","Dominant",19.1,28.92,45,29.41,2015-12-14,318.086488114423
312,3,"ambient","Codominant",15.7,20.35,45,20.44,2015-12-14,135.766352353461
313,3,"ambient","Codominant",19.5,19.37,45,19.91,2015-12-14,127.671397542941
314,3,"ambient","Suppressed",16.6,20.05,45,20.43,2015-12-14,135.610976064793
315,3,"ambient","Dominant",18.8,25.58,45,26.43,2015-12-14,247.727503277969
316,3,"ambient","Codominant",17.3,24.51,45,25,2015-12-14,217.493601170798
317,3,"ambient","Codominant",18.1,24.51,45,25.11,2015-12-14,219.739520076032
318,3,"ambient","Suppressed",11.4,15.51,45,15.51,2015-12-14,71.1702466265248
319,3,"ambient","Codominant",19.5,24.13,45,24.96,2015-12-14,216.68017789504
320,3,"ambient","Dominant",20.8,29.33,45,30.61,2015-12-14,349.290726245604
321,3,"ambient","Dominant",20.2,28.64,45,29.73,2015-12-14,326.244314153621
322,3,"ambient","Suppressed",12.7,17.56,45,17.61,2015-12-14,95.7952018518719
323,3,"ambient","Suppressed",14.2,16.08,45,16.12,2015-12-14,77.893470063693
324,3,"ambient","Dominant",20.8,36.43,45,38.21,2015-12-14,586.895976373719
325,3,"ambient","Suppressed",16.7,20.55,45,20.79,2015-12-14,141.2688367102
326,3,"ambient","Suppressed",12.3,16.52,45,16.65,2015-12-14,84.0187431287346
401,4,"elevated","Codominant",13.7,16.39,45,16.78,2015-12-14,85.5618255462184
402,4,"elevated","Codominant",15.3,19.74,45,19.88,2015-12-14,127.221699622701
403,4,"elevated","Dominant",16.3,21.98,45,23.01,2015-12-14,179.123163856766
404,4,"elevated","Suppressed",11.7,15.4,45,15.19,2015-12-14,67.7816372241916
405,4,"elevated","Codominant",13.6,16.49,45,16.62,2015-12-14,83.6649294966511
406,4,"elevated","Codominant",13.7,18.59,45,18.82,2015-12-14,111.912029741043
407,4,"elevated","Codominant",15.2,17.68,45,17.51,2015-12-14,94.5271242425801
408,4,"elevated","Dominant",18,29.38,45,30.52,2015-12-14,346.892302040811
409,4,"elevated","Codominant",13.4,16.71,45,17.06,2015-12-14,88.9401354865068
410,4,"elevated","Suppressed",14.7,16.62,45,16.73,2015-12-14,84.9664289628144
411,4,"elevated","Codominant",16.3,20.13,45,20.23,2015-12-14,132.524822004006
412,4,"elevated","Suppressed",12.7,16.79,45,16.87,2015-12-14,86.6395438634943
413,4,"elevated","Dominant",17.9,23.29,45,23.56,2015-12-14,189.302798127934
414,4,"elevated","Codominant",16.1,22.52,45,22.8,2015-12-14,175.321188427604
415,4,"elevated","Codominant",16.2,16.24,45,16.29,2015-12-14,79.8292779615869
416,4,"elevated","Codominant",17.2,15.65,45,15.95,2015-12-14,75.9848258436912
417,4,"elevated","Dominant",18.6,26.14,45,26.36,2015-12-14,246.194934928767
418,4,"elevated","Suppressed",13.3,17,45,17.01,2015-12-14,88.331368263244
419,4,"elevated","Suppressed",14.2,16.6,45,16.93,2015-12-14,87.3623174279552
420,4,"elevated","Codominant",18.2,22.87,45,23.36,2015-12-14,185.563820672029
421,4,"elevated","Suppressed",12.7,15.77,45,15.74,2015-12-14,73.664446073367
422,4,"elevated","Codominant",18.6,21.92,45,22.39,2015-12-14,168.032559576646
423,4,"elevated","Codominant",18.9,22.45,45,22.98,2015-12-14,178.577163703379
424,4,"elevated","Dominant",19.6,24.87,45,26.45,2015-12-14,248.166380524741
425,4,"elevated","Codominant",14.2,15.79,45,15.92,2015-12-14,75.6508186841629
426,4,"elevated","Codominant",13.4,15.72,45,16.14,2015-12-14,78.1198004068844
501,5,"elevated","Dominant",21.8,28.67,45,29.51,2015-12-14,320.62310390288
502,5,"elevated","Dominant",21.8,29.84,45,30.77,2015-12-14,353.577975747412
503,5,"elevated","Codominant",19.7,39.06,45,38.99,2015-12-14,615.314903522198
504,5,"elevated","Codominant",22,25.4,45,26.15,2015-12-14,241.629873206676
505,5,"elevated","Codominant",23.3,26.4,45,26.85,2015-12-14,257.037508324614
506,5,"elevated","Suppressed",16.5,20.18,45,20.17,2015-12-14,131.606901904753
507,5,"elevated","Suppressed",16.3,19.99,45,20.08,2015-12-14,130.236867457372
508,5,"elevated","Codominant",16.9,19.9,45,20.03,2015-12-14,129.479282836587
509,5,"elevated","Codominant",21.6,30.52,45,30.73,2015-12-14,352.503355083075
510,5,"elevated","Suppressed",13.2,16.02,45,15.99,2015-12-14,76.4314799715655
511,5,"elevated","Codominant",23,26.83,45,27.33,2015-12-14,267.919054612082
512,5,"elevated","Suppressed",17,20.54,45,20.69,2015-12-14,139.683919283186
