"Ring","treenr","dbh_qsm","trunk_volume","trunk_length","total_height","trunk_surfarea"
"R1",1,14.6,103,13.8,10.5,3.68
"R1",10,15.4,134,15.8,15,4.72
"R1",11,54.2,1313,31.6,23.7,17.6
"R1",12,36.8,640,20.8,19.2,10.1
"R1",13,31.6,629,25.5,22.6,11.8
"R1",14,17.5,174,14.3,12.8,4.89
"R1",15,10.8,71.7,11.7,10.5,2.98
"R1",16,55.5,926,25.8,21.2,13.7
"R1",17,12.9,83.2,11.7,11.5,3.17
"R1",18,20.2,328,21.7,18.8,8.21
"R1",19,20.4,361,21.3,19.5,8.67
"R1",2,42.5,1305,24.2,18.8,16.6
"R1",20,44,1291,29.9,24.2,18.9
"R1",21,23,286,17.4,16.2,7.12
"R1",22,19.5,311,19.8,17.8,7.79
"R1",23,23.1,491,25.9,23.3,11
"R1",24,32,716,26.3,21.7,13.2
"R1",25,47.9,1543,27.9,24.7,19.5
"R1",26,20.4,286,17.8,13,6.96
"R1",27,9.96,44.5,6.96,6.15,1.8
"R1",28,58.2,983,23.8,19.4,13.8
"R1",29,23.9,418,21.2,19.5,9.4
"R1",3,25.7,391,22.1,18.6,9.05
"R1",30,47,806,17.8,15.4,10.3
"R1",4,18.6,252,20.3,18.5,7.25
"R1",6,16.1,118,13.5,12,3.97
"R1",7,19.6,209,19.6,16.9,6.45
"R1",8,20.9,230,18.2,17,6.44
"R1",9,13.9,100,11.7,9.67,3.43
"R2",1,7.25,16.2,5.71,5.44,0.967
"R2",10,31.3,435,19,18,8.61
"R2",11,14.2,101,11.4,10.3,3.45
"R2",12,10.8,22,3.86,3.41,0.763
"R2",13,11.3,83.2,11.7,9.82,3.27
"R2",14,14.5,189,15.1,10.7,5.59
"R2",15,18,188,19,17.2,5.9
"R2",16,24.9,450,26.8,19.1,10.1
"R2",17,58.6,1689,33.8,23.1,19.5
"R2",18,15.5,152,14.4,10.6,4.81
"R2",19,13,84.6,15.4,12.8,3.58
"R2",2,11.8,54.3,9.4,8.79,2.3
"R2",20,22,330,27.9,17.6,9
"R2",21,16,125,14.7,12.5,4.26
"R2",22,21.5,409,23.3,20.4,9.8
"R2",23,8.84,34.5,7.91,6.82,1.69
"R2",24,7.73,24.2,6,5.59,1.25
"R2",25,8.44,29.2,6.98,6.85,1.48
"R2",26,20.3,267,19.3,18,7.07
"R2",27,21.9,175,12.1,10.4,4.62
"R2",28,16.7,110,11.8,8.95,3.58
"R2",29,19.5,252,16,11.7,6.49
"R2",3,10.9,69.5,10.1,9.97,2.83
"R2",30,22.8,264,15.8,12.3,5.99
"R2",31,12.1,94.4,12.8,10.9,3.51
"R2",32,14.2,125,12.3,8.71,3.89
"R2",33,25.4,392,19.7,18.3,8.49
"R2",34,23.7,301,18,14.6,6.86
"R2",35,16.5,204,19,17,6.28
"R2",4,15.3,108,12.1,10.6,3.74
"R2",5,16.7,105,12.3,10.6,3.69
"R2",6,7.28,25.5,8.99,8.17,1.52
"R2",7,4.88,6.79,5.01,4.22,0.623
"R2",8,23.5,302,19.8,17.7,7.45
"R2",9,30.8,757,25.4,19,13.8
"R3",1,5.6,9.04,4.96,4.21,0.712
"R3",10,25.7,436,19.6,17.8,9.22
"R3",11,23.5,499,19.3,17.9,9.79
"R3",12,14.8,100,15.3,13.7,3.82
"R3",13,30.1,615,25.2,19.3,11.8
"R3",14,26.4,399,18,16.9,8.33
"R3",15,17.3,161,15.7,14.2,5.08
"R3",16,17.8,109,12.9,11.6,3.63
"R3",17,13.3,42.6,10.4,9.16,2
"R3",18,13,96.4,11.2,9.32,3.16
"R3",19,13.5,109,14.8,13.1,4.11
"R3",2,12.6,45.4,7.75,6.09,1.89
"R3",20,14.1,105,16.3,12.4,3.8
"R3",21,29.5,445,20.5,17.9,9.35
"R3",22,23.4,358,19.8,19.4,8.22
"R3",23,12.9,60.1,9.29,8.38,2.4
"R3",24,32.6,736,22,20.6,12.7
"R3",25,8.41,37.6,10.2,8.85,2
"R3",26,15.6,154,14.3,12.4,4.72
"R3",27,13.8,121,13.4,11.9,3.79
"R3",28,28.5,259,17.7,16.2,6.2
"R3",29,28.5,643,22.8,20,11.9
"R3",3,19.1,214,21.1,15.9,6.44
"R3",30,40.1,967,23.3,20.7,14.2
"R3",31,17,112,16.6,14.4,4.27
"R3",32,34.7,835,21.4,18.8,12.4
"R3",33,20.2,336,21.8,19.8,8.48
"R3",34,27,247,18,16.7,6.42
"R3",35,17.3,134,15.7,14.1,4.3
"R3",36,29.5,469,23.6,18.8,9.82
"R3",4,21,232,17.7,14.1,5.79
"R3",5,30.6,671,22,19.7,11.4
"R3",6,9.07,59.2,8.21,5.12,2.33
"R3",7,15.5,113,12.1,11.3,3.44
"R3",8,19.2,117,8.61,6.63,3.05
"R3",9,22.6,316,20.3,17.7,8.03
"R4",1,17.3,173,16.3,15,5.42
"R4",10,15.3,193,18.3,15.8,5.88
"R4",11,13.3,123,15.4,13.2,4.15
"R4",12,11.7,60.6,12.7,10.9,2.75
"R4",13,24.2,240,17.6,14.6,6.24
"R4",14,7.4,21.4,7.46,6.2,1.28
"R4",15,20.9,177,18.2,14.7,5.63
"R4",16,22.7,204,15.4,13.3,5.46
"R4",17,17.7,175,14.8,13.6,5.07
"R4",18,24.4,323,14.7,12.5,6.71
"R4",19,29.3,455,19.8,18.5,8.78
"R4",2,10.3,44.1,8.91,7.96,2.07
"R4",20,13.7,81.4,13.9,11.2,3.21
"R4",21,27.6,213,17,14.9,5.54
"R4",22,16.2,151,14.9,14,4.62
"R4",23,17.7,164,16.7,12.3,5.1
"R4",24,15.9,133,13.7,11.6,4.31
"R4",25,8.73,39.9,7.03,6.85,1.68
"R4",26,24.1,347,20.3,17.3,8.13
"R4",27,15,146,14.6,12.7,4.72
"R4",28,23.4,322,16.5,15.5,7.24
"R4",29,29.4,585,26.3,17.5,10.8
"R4",3,12.3,48.7,9.45,7.61,2.05
"R4",30,21.8,342,17.3,15.6,7.44
"R4",31,14.3,122,17.2,15.4,4.71
"R4",32,17.5,78.4,11.2,9.9,2.89
"R4",33,14.6,118,17.1,12.7,4.22
"R4",34,14,135,17.6,16.5,4.74
"R4",35,27.8,469,21.1,18.1,9.79
"R4",36,22.4,184,14.1,12.9,4.83
"R4",37,16.1,146,14.6,13.9,4.4
"R4",38,21.1,368,19.9,18.1,8.56
"R4",39,26.3,509,24.5,18.9,10.7
"R4",4,16.8,113,12.9,11,3.79
"R4",40,31,391,17.4,14.1,7.56
"R4",41,25.1,364,20.9,17.3,8.25
"R4",5,6.88,29.7,8.95,7.81,1.66
"R4",6,11.6,42.2,8.77,7.12,1.78
"R4",7,12.5,50.7,10.2,9.1,2.29
"R4",8,26.9,186,15.6,12.9,4.49
"R4",9,12.7,163,16.5,14.2,5.35
"R5",1,11.5,122,14.4,13.1,4.19
"R5",10,37.7,1246,20.7,16.8,16.5
"R5",11,17.4,125,12.4,11.1,3.79
"R5",12,19.6,191,16,13.1,5.59
"R5",13,28.3,492,23.3,18.8,10.5
"R5",14,28.9,661,24.2,21.3,12.3
"R5",15,17.9,272,22.3,18.3,7.72
"R5",16,28,582,25.5,22.2,11.9
"R5",17,13.7,77.4,10.9,8.39,2.9
"R5",18,25,175,17.4,15.3,5.31
"R5",19,24.4,500,24.3,20.1,10.2
"R5",2,23.6,466,26.5,21.9,10.8
"R5",20,19.8,188,15,12,5.09
"R5",21,39.2,852,24.5,20.7,13.5
"R5",22,43.5,885,26.2,21.5,14.1
"R5",23,15.1,227,16.9,14.1,6.26
"R5",24,31,585,24.1,21.7,11.4
"R5",25,12.4,91.3,11.7,9.51,3.21
"R5",26,19.4,295,17,13.2,7.01
"R5",27,9.79,45.1,7.37,6.19,1.87
"R5",28,58.1,979,23.1,19.5,13.7
"R5",29,24,425,22.6,19.4,9.65
"R5",3,32.7,637,25.4,21.1,12
"R5",30,38.7,642,16.4,15.3,9.33
"R5",31,24.3,253,18.6,16.3,6.51
"R5",32,24.5,333,19.2,16.4,7.97
"R5",33,39.8,876,23.9,21.5,14.3
"R5",34,33.5,810,30.4,22.1,14.5
